"Date","Price","Open","High","Low","Vol.","Change %"
"03/24/2021","369.08","369.08","369.08","369.08","","-0.10%"
"03/23/2021","369.45","369.45","369.45","369.45","","0.00%"
"03/22/2021","369.45","369.45","369.45","369.45","","0.00%"
"03/19/2021","369.45","369.45","369.45","369.45","","-0.55%"
"03/18/2021","371.48","370.62","371.48","370.62","","0.23%"
"03/17/2021","370.62","370.62","370.62","370.62","","0.77%"
"03/16/2021","367.78","367.78","367.78","367.78","","0.00%"
"03/15/2021","367.78","368.64","368.64","367.78","","0.00%"
"03/12/2021","367.78","367.78","367.78","367.78","","0.00%"
"03/11/2021","367.78","367.78","367.78","367.78","","0.00%"
"03/10/2021","367.78","368.64","368.64","367.78","","-0.12%"
"03/09/2021","368.21","368.21","368.21","368.21","","0.00%"
"03/08/2021","368.21","367.84","368.21","367.84","","1.56%"
"03/05/2021","362.56","362.56","362.56","362.56","","0.00%"
"03/04/2021","362.56","362.56","362.56","362.56","","-0.45%"
"03/03/2021","364.19","364.19","364.19","364.19","","0.11%"
"03/02/2021","363.78","356.88","363.78","356.88","","1.93%"
"03/01/2021","356.88","356.88","356.88","356.88","","-0.12%"
"02/26/2021","357.31","356.42","357.31","356.42","","0.25%"
"02/25/2021","356.42","355.98","356.42","355.98","","-0.34%"
"02/24/2021","357.65","358.09","359.85","357.65","","-0.13%"
"02/23/2021","358.10","358.98","358.98","358.10","","0.12%"
"02/22/2021","357.66","357.22","359.87","357.22","","0.12%"
"02/19/2021","357.22","361.22","361.22","357.22","","-0.36%"
"02/18/2021","358.51","355.36","358.51","355.36","","0.89%"
"02/17/2021","355.36","356.24","356.24","355.36","","-0.25%"
"02/16/2021","356.24","356.24","356.24","355.38","","0.77%"
"02/15/2021","353.53","354.42","354.42","353.53","","-0.13%"
"02/12/2021","353.98","353.98","353.98","353.53","","-0.12%"
"02/11/2021","354.42","352.23","354.42","352.23","","0.62%"
"02/10/2021","352.23","352.67","353.11","352.23","","-0.12%"
"02/09/2021","352.67","353.98","353.98","352.67","","-1.38%"
"02/08/2021","357.62","357.18","358.95","357.18","","1.41%"
"02/05/2021","352.65","352.65","352.65","352.65","","-0.12%"
"02/04/2021","353.09","352.65","353.09","352.65","","-0.38%"
"02/03/2021","354.42","350.75","354.42","349.89","","0.92%"
"02/02/2021","351.19","349.48","352.07","349.48","","0.62%"
"02/01/2021","349.04","350.70","350.70","348.20","","-0.47%"
"01/29/2021","350.70","350.70","350.70","350.70","","0.00%"
"01/28/2021","350.70","350.30","350.70","350.30","","0.11%"
"01/27/2021","350.30","351.49","351.49","350.30","","-0.23%"
"01/26/2021","351.09","351.09","351.09","351.09","","0.00%"
"01/25/2021","351.09","351.09","351.09","351.09","","-1.16%"
"01/22/2021","355.20","355.20","355.20","355.20","","0.29%"
"01/21/2021","354.17","354.17","354.17","354.17","","0.00%"
"01/20/2021","354.17","354.17","354.17","354.17","","-0.72%"
"01/19/2021","356.75","357.78","357.78","356.75","","0.73%"
"01/18/2021","354.17","354.17","354.17","354.17","","-0.75%"
"01/15/2021","356.83","351.68","356.83","351.68","","0.00%"
"01/14/2021","356.83","350.89","356.83","350.89","","0.95%"
"01/13/2021","353.46","355.53","355.53","353.46","","0.58%"
"01/12/2021","351.41","351.41","351.41","351.41","","0.00%"
"01/11/2021","351.41","346.78","351.41","346.78","","0.15%"
"01/08/2021","350.90","350.90","350.90","350.90","","0.00%"
"01/07/2021","350.90","350.90","350.90","350.90","","0.36%"
"01/05/2021","349.65","349.14","349.65","349.14","","0.26%"
"01/04/2021","348.74","348.23","348.74","348.23","","1.05%"
"12/30/2020","345.13","345.13","345.13","345.13","","0.00%"
"12/29/2020","345.13","345.13","345.13","345.13","","0.85%"
"12/28/2020","342.22","342.22","342.22","342.22","","0.00%"
"12/23/2020","342.22","342.22","342.22","342.22","","-0.75%"
"12/22/2020","344.80","344.80","345.31","344.80","","2.29%"
"12/21/2020","337.07","337.07","337.07","337.07","","0.00%"
"12/18/2020","337.07","342.22","344.80","337.07","","-2.40%"
