"Date","Price","Open","High","Low","Vol.","Change %"
"02/06/2020","5,287.35","5,336.12","5,356.59","5,284.88","67.60M","-0.29%"
"02/05/2020","5,302.88","5,264.02","5,309.00","5,262.72","60.13M","0.74%"
"02/04/2020","5,264.14","5,248.90","5,280.18","5,243.59","54.21M","0.75%"
"02/03/2020","5,225.04","5,248.19","5,250.99","5,208.56","44.58M","-0.51%"
"01/31/2020","5,252.03","5,272.47","5,274.89","5,236.18","55.10M","0.11%"
"01/30/2020","5,246.00","5,257.72","5,265.06","5,226.40","54.38M","-0.25%"
"01/29/2020","5,259.35","5,259.80","5,279.42","5,246.56","44.44M","0.31%"
"01/28/2020","5,243.32","5,219.28","5,247.21","5,195.18","51.27M","1.24%"
"01/27/2020","5,178.89","5,237.36","5,244.96","5,178.89","63.79M","-2.04%"
"01/24/2020","5,286.48","5,272.33","5,306.04","5,250.57","45.82M","0.99%"
"01/23/2020","5,234.74","5,243.93","5,273.93","5,231.07","46.54M","-0.55%"
"01/22/2020","5,263.81","5,288.78","5,295.17","5,259.65","47.91M","-0.23%"
"01/21/2020","5,276.12","5,272.79","5,289.69","5,257.92","58.85M","-0.52%"
"01/20/2020","5,303.81","5,315.71","5,316.99","5,279.15","46.12M","-0.08%"
"01/17/2020","5,307.98","5,325.06","5,338.65","5,307.78","50.02M","0.02%"
"01/16/2020","5,306.80","5,320.61","5,321.74","5,288.03","57.49M","0.07%"
"01/15/2020","5,303.13","5,330.67","5,336.16","5,298.76","64.99M","0.21%"
"01/14/2020","5,292.22","5,274.16","5,292.22","5,240.59","39.93M","0.61%"
"01/13/2020","5,260.04","5,262.63","5,271.26","5,247.11","36.18M","0.04%"
"01/10/2020","5,257.92","5,240.06","5,258.78","5,221.63","31.63M","0.55%"
"01/09/2020","5,229.19","5,242.39","5,255.71","5,227.11","51.79M","0.04%"
"01/08/2020","5,226.97","5,207.96","5,226.97","5,182.15","49.53M","-0.06%"
"01/07/2020","5,230.07","5,235.90","5,264.35","5,230.07","47.11M","-0.11%"
"01/06/2020","5,235.90","5,215.54","5,238.38","5,178.25","61.35M","-0.12%"
"01/03/2020","5,242.13","5,246.93","5,253.81","5,217.29","57.64M","-0.45%"
"01/02/2020","5,265.78","5,239.19","5,272.43","5,226.67","68.31M","0.99%"
"12/31/2019","5,214.14","5,238.23","5,238.23","5,210.46","19.36M","-0.43%"
"12/30/2019","5,236.59","5,264.97","5,272.71","5,236.59","39.81M","-0.62%"
"12/27/2019","5,269.31","5,223.43","5,281.12","5,223.43","49.40M","0.73%"
"12/24/2019","5,231.29","5,220.27","5,241.70","5,211.05","8.62M","-0.17%"
"12/23/2019","5,240.08","5,241.67","5,248.63","5,218.92","37.92M","0.00%"
"12/20/2019","5,240.09","5,230.04","5,243.06","5,211.25","82.70M","0.41%"
"12/19/2019","5,218.51","5,201.78","5,218.51","5,188.63","56.46M","0.33%"
"12/18/2019","5,201.24","5,229.00","5,234.37","5,196.92","56.26M","-0.34%"
"12/17/2019","5,218.84","5,209.78","5,233.55","5,209.78","42.08M","-0.04%"
"12/16/2019","5,221.09","5,213.01","5,235.49","5,213.01","45.44M","0.34%"
"12/13/2019","5,203.38","5,234.78","5,246.35","5,192.27","133.15M","0.15%"
"12/12/2019","5,195.54","5,151.68","5,210.95","5,146.61","57.46M","0.90%"
"12/11/2019","5,148.97","5,147.00","5,163.51","5,129.14","38.38M","0.01%"
"12/10/2019","5,148.63","5,148.38","5,159.66","5,124.34","33.67M","-0.25%"
"12/09/2019","5,161.51","5,170.49","5,178.37","5,152.05","38.87M","-0.22%"
"12/06/2019","5,172.86","5,135.83","5,176.35","5,124.46","37.78M","0.86%"
"12/05/2019","5,128.87","5,123.40","5,155.08","5,116.99","41.80M","0.09%"
"12/04/2019","5,124.40","5,066.38","5,128.60","5,051.96","46.37M","1.72%"
"12/03/2019","5,037.61","5,099.12","5,099.76","5,037.61","65.13M","-0.99%"
"12/02/2019","5,088.04","5,149.89","5,161.43","5,088.04","57.85M","-0.77%"
"11/29/2019","5,127.43","5,148.76","5,153.20","5,127.10","46.49M","-0.46%"
"11/28/2019","5,151.35","5,137.40","5,161.80","5,117.09","54.92M","-0.72%"
"11/27/2019","5,188.90","5,171.42","5,206.52","5,156.18","46.35M","0.27%"
"11/26/2019","5,174.80","5,163.87","5,178.70","5,142.28","53.96M","-0.13%"
"11/25/2019","5,181.71","5,192.07","5,201.77","5,179.39","42.82M","0.02%"
"11/22/2019","5,180.55","5,189.76","5,212.47","5,176.32","48.16M","0.15%"
"11/21/2019","5,172.77","5,205.00","5,205.00","5,172.11","56.04M","-0.90%"
"11/20/2019","5,219.58","5,237.28","5,240.43","5,204.19","41.47M","-0.77%"
"11/19/2019","5,260.09","5,268.93","5,280.58","5,246.46","45.47M","-0.07%"
"11/18/2019","5,263.61","5,276.80","5,286.25","5,253.26","48.24M","-0.08%"
"11/15/2019","5,267.66","5,290.92","5,290.92","5,255.44","51.02M","-0.13%"
"11/14/2019","5,274.43","5,286.24","5,288.14","5,258.81","64.92M","-0.36%"
"11/13/2019","5,293.74","5,304.60","5,304.66","5,270.85","63.66M","-0.19%"
"11/12/2019","5,303.82","5,290.91","5,328.81","5,290.23","69.28M","0.18%"
"11/11/2019","5,294.47","5,303.82","5,304.50","5,268.61","71.60M","-0.19%"
"11/08/2019","5,304.81","5,308.45","5,315.64","5,281.42","110.15M","0.16%"
"11/07/2019","5,296.56","5,237.77","5,305.88","5,236.45","85.82M","1.33%"
"11/06/2019","5,227.07","5,225.48","5,243.31","5,201.10","74.00M","-0.14%"
"11/05/2019","5,234.42","5,206.30","5,236.73","5,203.91","68.10M","0.60%"
"11/04/2019","5,203.39","5,127.62","5,203.39","5,123.31","72.28M","1.71%"
"11/01/2019","5,115.90","5,123.63","5,126.22","5,098.38","37.17M","-0.07%"
"10/31/2019","5,119.62","5,110.09","5,135.43","5,087.55","51.04M","0.17%"
"10/30/2019","5,111.04","5,085.81","5,111.04","5,071.57","53.13M","0.52%"
"10/29/2019","5,084.66","5,097.28","5,097.28","5,060.53","53.46M","-0.43%"
"10/28/2019","5,106.62","5,100.22","5,115.31","5,083.59","44.75M","0.32%"
"10/25/2019","5,090.25","5,088.47","5,099.46","5,068.38","46.22M","0.16%"
"10/24/2019","5,082.04","5,076.56","5,117.02","5,065.12","105.32M","0.48%"
"10/23/2019","5,057.72","5,000.03","5,057.72","4,997.08","70.61M","0.83%"
"10/22/2019","5,016.18","5,019.60","5,033.56","4,994.28","64.37M","-0.01%"
"10/21/2019","5,016.45","4,988.68","5,018.46","4,984.46","60.58M","0.79%"
"10/18/2019","4,977.16","5,009.83","5,039.69","4,966.04","50.00M","-0.73%"
"10/17/2019","5,013.78","4,991.62","5,039.55","4,989.53","63.58M","0.28%"
"10/16/2019","4,999.71","4,990.57","4,999.71","4,963.85","65.89M","0.19%"
"10/15/2019","4,990.44","4,983.70","5,013.18","4,968.91","49.60M","0.31%"
"10/14/2019","4,975.17","4,982.82","4,985.14","4,934.49","51.21M","-0.58%"
"10/11/2019","5,003.97","4,947.77","5,014.80","4,947.28","71.37M","1.20%"
"10/10/2019","4,944.46","4,925.10","4,949.98","4,904.27","51.64M","0.48%"
"10/09/2019","4,921.06","4,903.55","4,929.77","4,902.63","40.72M","0.16%"
"10/08/2019","4,913.35","4,947.46","4,949.84","4,891.68","53.82M","-0.40%"
"10/07/2019","4,933.21","4,910.36","4,933.21","4,890.79","40.14M","0.52%"
"10/04/2019","4,907.87","4,871.94","4,914.73","4,867.91","68.56M","0.86%"
"10/03/2019","4,865.83","4,862.49","4,897.89","4,844.36","115.61M","-0.34%"
"10/02/2019","4,882.33","4,941.25","4,942.20","4,882.33","75.82M","-1.35%"
"10/01/2019","4,948.99","4,960.06","5,002.66","4,948.93","69.87M","-0.50%"
"09/30/2019","4,973.76","4,922.18","4,982.97","4,913.40","61.40M","0.80%"
"09/27/2019","4,934.28","4,923.02","4,961.70","4,917.91","54.55M","0.57%"
"09/26/2019","4,906.45","4,885.35","4,935.99","4,881.74","98.67M","0.64%"
"09/25/2019","4,875.44","4,944.21","4,944.21","4,846.25","140.25M","-1.62%"
"09/24/2019","4,955.87","4,984.09","4,993.42","4,955.87","65.88M","-0.35%"
"09/23/2019","4,973.43","5,016.30","5,019.89","4,958.91","106.77M","-0.86%"
"09/20/2019","5,016.35","5,025.98","5,034.26","5,014.82","314.85M","-0.47%"
"09/19/2019","5,039.92","4,978.81","5,039.92","4,970.54","69.24M","0.96%"
"09/18/2019","4,991.75","5,050.70","5,051.31","4,982.90","80.82M","-1.28%"
"09/17/2019","5,056.37","5,064.34","5,071.34","5,043.33","85.53M","-0.30%"
"09/16/2019","5,071.60","5,052.97","5,073.75","5,031.87","94.85M","0.45%"
"09/13/2019","5,048.89","5,031.86","5,064.15","5,024.80","88.05M","0.64%"
"09/12/2019","5,016.81","5,010.24","5,032.03","4,983.12","92.66M","0.22%"
"09/11/2019","5,005.80","5,008.57","5,018.94","4,980.96","94.10M","0.22%"
