"mic","symbol","isin","date","open_value","high_value","low_value","last_value","change_prev_close_percentage","turnover"
"XLJU","SBITOP","SI0026109882","2020-01-21",958.40,958.43,951.24,958.14,0.13,3436604.54
"XLJU","SBITOP","SI0026109882","2020-01-20",956.34,960.95,950.73,956.92,0.06,2362472.45
"XLJU","SBITOP","SI0026109882","2020-01-17",960.54,962.00,953.32,956.34,-0.44,2562413.19
"XLJU","SBITOP","SI0026109882","2020-01-16",973.79,973.79,957.58,960.54,-1.36,2254518.14
"XLJU","SBITOP","SI0026109882","2020-01-15",974.62,974.95,971.04,973.79,-0.05,1185789.71
"XLJU","SBITOP","SI0026109882","2020-01-14",980.08,980.97,973.06,974.32,-0.59,1251043.10
"XLJU","SBITOP","SI0026109882","2020-01-13",965.48,980.08,965.48,980.08,1.51,2711330.74
"XLJU","SBITOP","SI0026109882","2020-01-10",947.77,965.48,946.82,965.48,1.69,2463928.19
"XLJU","SBITOP","SI0026109882","2020-01-09",938.50,949.44,934.45,949.44,1.24,2104367.10
"XLJU","SBITOP","SI0026109882","2020-01-08",937.16,939.48,933.47,937.81,0.47,1618391.16
"XLJU","SBITOP","SI0026109882","2020-01-07",933.48,936.94,929.36,933.45,0.06,1961568.73
"XLJU","SBITOP","SI0026109882","2020-01-06",930.97,932.92,926.46,932.92,0.21,412325.28
"XLJU","SBITOP","SI0026109882","2020-01-03",926.10,930.97,922.57,930.97,0.53,1236637.92
"XLJU","SBITOP","SI0026109882","2019-12-30",924.84,928.08,921.14,926.10,0.14,2812484.28
"XLJU","SBITOP","SI0026109882","2019-12-27",924.71,924.89,920.61,924.84,-0.03,1297443.25
"XLJU","SBITOP","SI0026109882","2019-12-23",919.62,925.14,919.32,925.14,0.60,1722481.32
"XLJU","SBITOP","SI0026109882","2019-12-20",924.55,926.75,919.08,919.62,-0.49,3799508.90
"XLJU","SBITOP","SI0026109882","2019-12-19",924.42,929.23,922.14,924.15,-0.03,1220672.82
"XLJU","SBITOP","SI0026109882","2019-12-18",921.66,927.14,920.00,924.42,0.19,960018.68
"XLJU","SBITOP","SI0026109882","2019-12-17",926.30,928.97,920.31,922.65,-0.39,1454129.70
"XLJU","SBITOP","SI0026109882","2019-12-16",925.47,928.24,919.78,926.30,0.12,3130143.03
"XLJU","SBITOP","SI0026109882","2019-12-13",916.25,925.19,916.25,925.19,1.00,2383936.29
"XLJU","SBITOP","SI0026109882","2019-12-12",911.16,920.51,909.68,916.05,0.51,1444395.86
"XLJU","SBITOP","SI0026109882","2019-12-11",907.61,911.44,907.61,911.44,0.42,834353.91
"XLJU","SBITOP","SI0026109882","2019-12-10",910.05,910.05,905.19,907.61,-0.25,1166104.34
"XLJU","SBITOP","SI0026109882","2019-12-09",905.61,910.30,905.61,909.85,0.47,1669155.56
"XLJU","SBITOP","SI0026109882","2019-12-06",904.48,905.61,900.76,905.61,0.12,1373926.43
"XLJU","SBITOP","SI0026109882","2019-12-05",899.02,904.67,898.18,904.48,0.61,1721619.00
"XLJU","SBITOP","SI0026109882","2019-12-04",896.09,902.96,894.31,899.02,0.23,906726.90
"XLJU","SBITOP","SI0026109882","2019-12-03",899.49,900.35,896.52,896.93,-0.23,366822.64
"XLJU","SBITOP","SI0026109882","2019-12-02",897.05,901.34,897.05,898.96,0.33,1798284.11
"XLJU","SBITOP","SI0026109882","2019-11-29",895.28,898.17,891.29,895.99,0.10,1153634.84
"XLJU","SBITOP","SI0026109882","2019-11-28",896.33,896.94,892.63,895.10,-0.14,956353.20
"XLJU","SBITOP","SI0026109882","2019-11-27",897.51,899.09,889.65,896.33,-0.13,1216612.26
"XLJU","SBITOP","SI0026109882","2019-11-26",897.10,898.64,895.21,897.51,-0.14,833090.64
"XLJU","SBITOP","SI0026109882","2019-11-25",899.46,901.85,895.38,898.76,-0.35,1641174.00
"XLJU","SBITOP","SI0026109882","2019-11-22",893.89,902.48,893.57,901.96,0.94,2993568.52
"XLJU","SBITOP","SI0026109882","2019-11-21",884.97,893.81,883.89,893.52,1.06,2870818.06
"XLJU","SBITOP","SI0026109882","2019-11-20",885.42,886.86,880.72,884.14,-0.26,851685.20
"XLJU","SBITOP","SI0026109882","2019-11-19",884.14,887.60,882.96,886.48,0.30,895378.30
"XLJU","SBITOP","SI0026109882","2019-11-18",879.69,886.10,879.69,883.81,0.36,2394617.00
"XLJU","SBITOP","SI0026109882","2019-11-15",877.08,880.68,871.86,880.68,0.41,804080.00
"XLJU","SBITOP","SI0026109882","2019-11-14",877.83,877.83,873.93,877.08,-0.20,588699.30
"XLJU","SBITOP","SI0026109882","2019-11-13",874.18,879.25,873.12,878.81,0.34,705501.59
"XLJU","SBITOP","SI0026109882","2019-11-12",871.75,876.40,870.00,875.84,0.54,1214815.80
"XLJU","SBITOP","SI0026109882","2019-11-11",864.81,871.10,864.24,871.10,0.73,600517.28
"XLJU","SBITOP","SI0026109882","2019-11-08",866.79,866.79,861.84,864.81,-0.25,500109.80
"XLJU","SBITOP","SI0026109882","2019-11-07",864.25,866.98,861.61,866.98,0.24,618247.10
"XLJU","SBITOP","SI0026109882","2019-11-06",859.50,865.64,859.50,864.90,0.69,910136.10
"XLJU","SBITOP","SI0026109882","2019-11-05",858.88,864.07,857.44,858.97,0.13,1222092.40
"XLJU","SBITOP","SI0026109882","2019-11-04",853.56,857.83,852.02,857.83,0.50,393121.66
