Date, Open, High, Low, Close
03/17/21, 860.72, 861.29, 855.98, 857.19
03/16/21, 855.32, 860.72, 851.95, 860.26
03/12/21, 849.41, 850.98, 843.43, 849.81
03/11/21, 844.46, 850.58, 843.40, 850.07
03/10/21, 838.97, 843.33, 833.29, 841.12
03/09/21, 829.18, 840.74, 828.73, 837.61
03/08/21, 825.79, 833.00, 824.67, 827.06
03/05/21, 814.22, 825.23, 811.85, 825.02
03/04/21, 812.80, 819.36, 809.26, 817.24
03/03/21, 819.17, 827.68, 815.03, 815.10
03/02/21, 803.70, 818.07, 801.77, 817.03
03/01/21, 795.99, 810.64, 795.99, 802.60
02/26/21, 777.88, 792.71, 777.57, 792.38
02/25/21, 778.99, 788.07, 778.97, 787.43
02/24/21, 774.91, 786.14, 773.66, 774.80
02/23/21, 784.98, 788.94, 772.40, 773.52
02/22/21, 779.24, 788.75, 775.35, 781.99
02/19/21, 782.94, 790.00, 781.11, 781.42
02/18/21, 790.22, 795.07, 782.23, 782.23
02/17/21, 792.00, 796.58, 785.31, 788.75
02/16/21, 799.16, 803.94, 794.48, 795.91
02/15/21, 779.04, 797.23, 779.04, 796.38
02/12/21, 773.97, 778.77, 772.86, 776.09
02/11/21, 762.97, 779.40, 762.97, 774.38
02/10/21, 756.51, 766.51, 753.97, 762.83
02/09/21, 776.37, 776.37, 756.88, 756.88
02/08/21, 767.91, 781.05, 767.91, 778.01
02/05/21, 762.61, 770.58, 762.05, 764.60
02/04/21, 763.73, 766.23, 756.90, 760.78
02/03/21, 765.79, 767.75, 759.05, 764.33
02/02/21, 753.42, 769.91, 753.42, 760.59
02/01/21, 749.50, 755.53, 744.48, 749.73
01/29/21, 749.36, 757.65, 742.24, 749.46
01/28/21, 738.55, 756.01, 726.02, 754.25
01/27/21, 762.54, 769.59, 740.61, 743.49
01/26/21, 762.73, 772.57, 761.70, 764.70
01/25/21, 779.22, 779.85, 755.61, 762.13
01/22/21, 792.72, 792.72, 774.24, 778.98
01/21/21, 805.27, 808.84, 795.99, 796.77
01/20/21, 802.08, 806.74, 796.12, 800.76
01/19/21, 790.52, 803.97, 790.52, 799.97
01/18/21, 787.76, 794.58, 787.25, 787.76
01/15/21, 790.34, 792.54, 784.37, 790.14
01/14/21, 804.06, 811.15, 794.03, 794.03
01/13/21, 798.37, 806.73, 794.97, 802.19
01/12/21, 800.87, 806.89, 794.52, 796.73
01/11/21, 817.84, 817.84, 798.55, 800.56
