"Date","Price","Open","High","Low","Vol.","Change %"
"03/22/2022","880.83","880.83","880.83","880.83","","0.33%"
"03/21/2022","877.91","877.91","877.91","877.91","","0.65%"
"03/18/2022","872.24","872.24","872.24","872.24","","0.24%"
"03/17/2022","870.19","870.19","870.19","870.19","","1.23%"
"03/16/2022","859.65","859.65","859.65","859.65","","0.23%"
"03/15/2022","857.64","857.64","857.64","857.64","","0.06%"
"03/14/2022","857.12","857.12","857.12","857.12","","0.80%"
"03/10/2022","850.30","850.30","850.30","850.30","","-0.23%"
"03/09/2022","852.24","852.24","852.24","852.24","","2.73%"
"03/08/2022","829.62","829.62","829.62","829.62","","1.76%"
"03/07/2022","815.30","815.30","815.30","815.30","","-3.74%"
"03/04/2022","847.02","847.02","847.02","847.02","","-2.89%"
"03/03/2022","872.27","872.27","872.27","872.27","","0.51%"
"03/02/2022","867.81","867.81","867.81","867.81","","-1.58%"
"03/01/2022","881.77","881.77","881.77","881.77","","-1.78%"
"02/28/2022","897.74","897.74","897.74","897.74","","-0.68%"
"02/25/2022","903.90","903.90","903.90","903.90","","4.81%"
"02/24/2022","862.41","862.41","862.41","862.41","","-6.57%"
"02/23/2022","923.08","923.08","923.08","923.08","","-0.10%"
"02/22/2022","923.99","923.99","923.99","923.99","","0.55%"
"02/21/2022","918.96","918.96","918.96","918.96","","-1.62%"
"02/18/2022","934.13","934.13","934.13","934.13","","-0.45%"
"02/17/2022","938.33","938.33","938.33","938.33","","-0.58%"
"02/15/2022","943.81","943.81","943.81","943.81","","0.68%"
"02/14/2022","937.47","937.47","937.47","937.47","","-1.27%"
"02/11/2022","949.56","949.56","949.56","949.56","","-0.05%"
"02/10/2022","950.06","950.06","950.06","950.06","","-0.65%"
"02/09/2022","956.31","956.31","956.31","956.31","","0.66%"
"02/08/2022","950.05","950.05","950.05","950.05","","-0.12%"
"02/07/2022","951.22","951.22","951.22","951.22","","-0.04%"
"02/04/2022","951.57","951.57","951.57","951.57","","-0.43%"
"02/03/2022","955.72","955.72","955.72","955.72","","-0.14%"
"02/02/2022","957.03","957.03","957.03","957.03","","0.04%"
"02/01/2022","956.66","956.66","956.66","956.66","","0.52%"
"01/31/2022","951.68","951.68","951.68","951.68","","0.34%"
"01/28/2022","948.47","948.47","948.47","948.47","","0.22%"
"01/27/2022","946.37","946.37","946.37","946.37","","-0.12%"
"01/26/2022","947.50","947.50","947.50","947.50","","0.81%"
"01/25/2022","939.93","939.93","939.93","939.93","","0.43%"
"01/24/2022","935.88","935.88","935.88","935.88","","-2.40%"
"01/21/2022","958.94","958.94","958.94","958.94","","-1.79%"
"01/20/2022","976.39","976.39","976.39","976.39","","0.10%"
"01/19/2022","975.45","975.45","975.45","975.45","","-0.60%"
"01/18/2022","981.38","981.38","981.38","981.38","","-1.00%"
"01/17/2022","991.31","991.31","991.31","991.31","","-0.04%"
"01/14/2022","991.66","991.66","991.66","991.66","","-0.73%"
"01/13/2022","998.98","998.98","998.98","998.98","","0.36%"
"01/12/2022","995.35","995.35","995.35","995.35","","0.76%"
"01/11/2022","987.83","987.83","987.83","987.83","","0.50%"
"01/10/2022","982.92","982.92","982.92","982.92","","0.10%"
"01/07/2022","981.91","981.91","981.91","981.91","","0.54%"
"01/06/2022","976.62","976.62","976.62","976.62","","-0.02%"
"01/05/2022","976.86","976.86","976.86","976.86","","0.27%"
"01/04/2022","974.19","974.19","974.19","974.19","","0.45%"
"01/03/2022","969.82","969.82","969.82","969.82","","0.38%"
"12/30/2021","966.13","966.13","966.13","966.13","","0.09%"
"12/29/2021","965.22","965.22","965.22","965.22","","0.13%"
"12/28/2021","963.93","963.93","963.93","963.93","","-0.23%"
"12/27/2021","966.17","966.17","966.17","966.17","","0.15%"
"12/23/2021","964.76","964.76","964.76","964.76","","0.61%"
"12/22/2021","958.93","958.93","958.93","958.93","","-0.15%"
"12/21/2021","960.33","960.33","960.33","960.33","","0.32%"
"12/20/2021","957.26","957.26","957.26","957.26","","-1.03%"
"12/17/2021","967.19","967.19","967.19","967.19","","-0.08%"
"12/16/2021","967.92","967.92","967.92","967.92","","0.59%"
"12/15/2021","962.26","962.26","962.26","962.26","","-0.16%"
"12/14/2021","963.82","963.82","963.82","963.82","","-0.42%"
"12/13/2021","967.86","967.86","967.86","967.86","","-0.15%"
"12/10/2021","969.29","969.29","969.29","969.29","","0.20%"
"12/09/2021","967.40","967.40","967.40","967.40","","0.14%"
"12/08/2021","966.04","965.12","968.45","963.03","","0.21%"
"12/07/2021","964.01","964.01","964.01","964.01","","0.36%"
"12/06/2021","960.59","960.59","960.59","960.59","","-0.51%"
"12/03/2021","965.47","965.47","965.47","965.47","","0.36%"
"12/02/2021","961.99","961.99","961.99","961.99","","-0.24%"
"12/01/2021","964.29","964.29","964.29","964.29","","0.38%"
"11/30/2021","960.68","960.68","960.68","960.68","","0.15%"
"11/29/2021","959.22","959.22","959.22","959.22","","0.57%"
"11/26/2021","953.78","953.78","953.78","953.78","","-0.61%"
"11/25/2021","959.66","959.66","959.66","959.66","","0.60%"
"11/24/2021","953.91","953.91","953.91","953.91","","0.07%"
"11/23/2021","953.29","953.29","953.29","953.29","","-0.16%"
"11/22/2021","954.77","954.77","954.77","954.77","","-0.01%"
"11/19/2021","954.85","954.85","954.85","954.85","","-0.01%"
"11/18/2021","954.92","954.92","954.92","954.92","","-0.21%"
"11/17/2021","956.92","956.92","956.92","956.92","","-0.04%"
"11/16/2021","957.35","957.35","957.35","957.35","","-0.26%"
"11/15/2021","959.80","959.80","959.80","959.80","","0.27%"
"11/12/2021","957.22","957.22","957.22","957.22","","-0.34%"
"11/11/2021","960.44","960.44","960.44","960.44","","0.28%"
"11/10/2021","957.75","957.75","957.75","957.75","","-0.29%"
"11/09/2021","960.56","960.56","960.56","960.56","","-0.40%"
"11/08/2021","964.38","964.38","964.38","964.38","","-0.19%"
"11/05/2021","966.22","966.22","966.22","966.22","","0.89%"
"11/04/2021","957.74","957.74","957.74","957.74","","-0.91%"
"11/03/2021","966.53","966.53","966.53","966.53","","1.48%"
"10/29/2021","952.39","952.39","952.39","952.39","","-0.94%"
"10/28/2021","961.40","961.40","961.40","961.40","","1.05%"
"10/27/2021","951.39","951.39","951.39","951.39","","0.29%"
"10/26/2021","948.66","948.66","948.66","948.66","","-0.43%"
"10/25/2021","952.78","952.78","952.78","952.78","","-0.59%"
"10/22/2021","958.41","958.41","958.41","958.41","","1.40%"
"10/21/2021","945.18","945.18","945.18","945.18","","0.50%"
"10/20/2021","940.49","940.49","940.49","940.49","","-0.17%"
"10/19/2021","942.06","942.06","942.06","942.06","","0.59%"
"10/18/2021","936.55","936.55","936.55","936.55","","1.10%"
"10/15/2021","926.38","926.38","926.38","926.38","","0.21%"
"10/14/2021","924.46","924.46","924.46","924.46","","-0.08%"
"10/13/2021","925.17","925.17","925.17","925.17","","0.36%"
"10/12/2021","921.85","921.85","921.85","921.85","","0.18%"
"10/11/2021","920.15","920.15","920.15","920.15","","-1.03%"
"10/08/2021","929.69","929.69","929.69","929.69","","0.08%"
"10/07/2021","928.97","928.97","928.97","928.97","","-0.13%"
"10/06/2021","930.19","930.19","930.19","930.19","","-0.51%"
"10/05/2021","934.99","934.99","934.99","934.99","","-0.50%"
"10/04/2021","939.66","939.66","939.66","939.66","","-0.53%"
"10/01/2021","944.67","944.67","944.67","944.67","","1.17%"
